x,Triangle,Trapezoidal,Gaussian
1.197992,0.802008,1.000000,0.730807
1.199992,0.800008,1.000000,0.726168
1.201992,0.798008,1.000000,0.721513
1.203992,0.796008,1.000000,0.716841
1.205992,0.794008,1.000000,0.712155
1.207992,0.792008,1.000000,0.707453
1.209992,0.790008,1.000000,0.702738
1.211992,0.788008,1.000000,0.698009
1.213992,0.786008,1.000000,0.693268
1.215991,0.784009,1.000000,0.688515
1.217991,0.782009,1.000000,0.683750
1.219991,0.780009,1.000000,0.678976
1.221991,0.778009,1.000000,0.674191
1.223991,0.776009,1.000000,0.669398
1.225991,0.774009,1.000000,0.664595
1.227991,0.772009,1.000000,0.659786
1.229991,0.770009,1.000000,0.654969
1.231991,0.768009,1.000000,0.650145
1.233991,0.766009,1.000000,0.645316
1.235991,0.764009,1.000000,0.640482
1.237991,0.762009,1.000000,0.635643
1.239991,0.760009,1.000000,0.630800
1.241991,0.758009,1.000000,0.625954
1.243991,0.756009,1.000000,0.621106
1.245991,0.754009,1.000000,0.616256
1.247991,0.752009,1.000000,0.611404
1.249991,0.750009,1.000000,0.606552
1.251991,0.748009,1.000000,0.601700
1.253991,0.746009,1.000000,0.596849
1.255991,0.744009,1.000000,0.591999
1.257991,0.742009,1.000000,0.587150
1.259991,0.740009,1.000000,0.582304
1.261991,0.738009,1.000000,0.577461
1.263991,0.736009,1.000000,0.572622
1.265991,0.734009,1.000000,0.567787
1.267991,0.732009,1.000000,0.562957
1.269991,0.730009,1.000000,0.558132
1.271991,0.728009,1.000000,0.553313
1.273991,0.726009,1.000000,0.548500
1.275991,0.724009,1.000000,0.543695
1.277991,0.722009,1.000000,0.538897
1.279991,0.720009,1.000000,0.534107
1.281991,0.718009,1.000000,0.529326
1.283991,0.716009,1.000000,0.524555
1.285991,0.714009,1.000000,0.519793
1.287991,0.712009,1.000000,0.515041
1.289991,0.710009,1.000000,0.510300
1.291991,0.708009,1.000000,0.505571
1.293990,0.706010,1.000000,0.500853
1.295990,0.704010,1.000000,0.496147
1.297990,0.702010,1.000000,0.491454
1.299990,0.700010,1.000000,0.486775
1.301990,0.698010,1.000000,0.482109
1.303990,0.696010,1.000000,0.477457
1.305990,0.694010,1.000000,0.472820
1.307990,0.692010,1.000000,0.468198
1.309990,0.690010,1.000000,0.463591
1.311990,0.688010,1.000000,0.459001
1.313990,0.686010,1.000000,0.454427
1.315990,0.684010,1.000000,0.449869
1.317990,0.682010,1.000000,0.445329
1.319990,0.680010,1.000000,0.440806
1.321990,0.678010,1.000000,0.436302
1.323990,0.676010,1.000000,0.431816
1.325990,0.674010,1.000000,0.427348
1.327990,0.672010,1.000000,0.422900
1.329990,0.670010,1.000000,0.418471
1.331990,0.668010,1.000000,0.414062
1.333990,0.666010,0.999015,0.409674
1.335990,0.664010,0.996015,0.405306
1.337990,0.662010,0.993015,0.400958
1.339990,0.660010,0.990015,0.396633
1.341990,0.658010,0.987015,0.392328
1.343990,0.656010,0.984015,0.388046
1.345990,0.654010,0.981015,0.383785
1.347990,0.652010,0.978015,0.379548
1.349990,0.650010,0.975015,0.375333
1.351990,0.648010,0.972015,0.371141
1.353990,0.646010,0.969015,0.366972
1.355990,0.644010,0.966016,0.362827
1.357990,0.642010,0.963016,0.358706
1.359990,0.640010,0.960016,0.354609
1.361990,0.638010,0.957016,0.350536
1.363990,0.636010,0.954016,0.346488
1.365990,0.634010,0.951016,0.342465
1.367990,0.632010,0.948016,0.338466
